implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI root-in cyclic-x cusparse C,CSR,webbase-1M.mtx,1000005,1000005,3105536,2,1.014546500e-04,6.774379677e-06,61.220180642,4.037236000e-05,4.980735991e-05,1.350567477e+00,2.135282974e-01,5.896807000e-03,1,5.303436699e-07
MPI root-in cyclic-x cusparse C,CSR,bone010.mtx,986703,986703,71666325,2,1.000012900e-03,1.857438466e-04,143.330801033,5.524249400e-04,4.201574397e-04,1.522894004e+01,7.056636049e+00,4.660808200e-02,0,5.862026566e-03
MPI root-in cyclic-x cusparse C,CSR,boyd2.mtx,466316,466316,1500397,2,1.651570500e-04,5.602041075e-05,18.169336398,1.201940200e-04,3.433472045e-05,3.178446180e-01,1.929060117e-01,3.280407000e-03,1,8.719015813e+01
MPI root-in cyclic-x cusparse C,CSR,ASIC_680ks.mtx,682712,682712,2329176,2,2.721392900e-04,5.670873967e-05,17.117528307,2.046242700e-04,4.428800009e-05,1.140726224e+00,1.723380851e-01,3.712583000e-03,1,5.070871004e-02
MPI root-in cyclic-x cusparse C,CSR,eu-2005.mtx,862664,862664,19235140,2,5.578435000e-04,1.318166394e-04,68.962495754,3.906504300e-04,1.420390399e-04,4.505617583e+00,1.900317391e+00,1.818991300e-02,1,6.079673767e-06
MPI root-in cyclic-x cusparse C,CSR,Si41Ge41H72.mtx,185639,185639,15011265,2,2.022269400e-04,2.542044265e-05,148.459596926,7.229829000e-05,1.082163194e-04,4.067271392e+00,1.437424114e+00,1.028354400e-02,1,7.028219152e-06
MPI root-in cyclic-x cusparse C,CSR,Rucci1.mtx,1977885,109900,7791168,2,1.577427500e-04,9.875955694e-06,98.783215077,4.413460000e-05,9.250816151e-05,4.023006624e+00,8.603243913e-01,6.623035000e-03,1,2.610918273e-07
MPI root-in cyclic-x cusparse C,CSR,FullChip.mtx,2987012,2987012,26621990,2,1.998637480e-03,6.470808802e-04,26.640138861,1.717494080e-03,2.419097640e-04,1.298043487e+01,2.929759356e+00,2.972096200e-02,1,1.251503418e-04
MPI root-in cyclic-x cusparse C,CSR,rajat31.mtx,4690002,4690002,20316253,2,2.140211350e-03,1.187966185e-03,18.985277319,1.864477790e-03,2.202214366e-04,1.020224846e+01,2.300188314e+00,2.613562500e-02,1,1.254320145e-03
MPI root-in block-x cusparse CU,CSR,ldoor.mtx,952203,952203,46522475,2,4.224234800e-04,2.413284388e-05,220.264626389,1.166706100e-04,2.990387252e-04,1.175315180e+01,2.002298738e+00,3.213834000e-02,0,8.720193364e+00
MPI root-in block-x cusparse CU,CSR,webbase-1M.mtx,1000005,1000005,3105536,2,8.851564000e-05,1.324514126e-06,70.169203996,1.939089000e-05,5.041151889e-05,1.347860339e+00,8.242288769e-02,5.348643000e-03,1,1.055776825e-06
MPI root-in block-x cusparse CU,CSR,bone010.mtx,986703,986703,71666325,2,4.596461200e-04,1.388935753e-06,311.832611575,2.518369000e-05,4.216729522e-04,1.510071099e+01,1.463627580e+00,4.584390700e-02,0,6.371394986e-03
MPI root-in block-x cusparse CU,CSR,boyd2.mtx,466316,466316,1500397,2,2.556869400e-04,6.925288312e-05,11.736203656,1.982445800e-04,3.519488074e-05,3.174511200e-01,2.789840106e-01,7.036301000e-03,1,2.720215890e+02
