implementation,format,matrix,rows,cols,nnz,processes,avg_time_s,std_time_s,gflops,comm_time_s,compute_time_s,file_parse_s,input_total_s,input_read_parse_s,input_file_io_s,input_parse_s,matrix_validation_s,matrix_redistribution_s,matrix_pack_s,matrix_exchange_s,matrix_source_nnz,matrix_remote_nnz,matrix_remote_fraction,format_conv_s,h2d_transfer_s,valid,max_abs_error
MPI mpi-io-in repl-x adaptive C,CSR,ldoor.mtx,952203,952203,46522475,4,2.231344000e-04,3.315813480e-06,416.990611936,0.000000000e+00,2.120704025e-04,1.284433038e+01,1.284433064e+01,1.260184565e+01,8.821653940e+00,3.780189374e+00,3.348547000e-02,2.377618290e-01,1.283192190e-01,1.094426100e-01,46522475,34890705,7.499752539e-01,1.934973499e-01,1.626822100e-02,0,1.997471085e+01
MPI mpi-io-in repl-x adaptive C,CSR,webbase-1M.mtx,1000005,1000005,3105536,4,5.178230000e-05,1.332978248e-06,119.945850223,0.000000000e+00,4.218879938e-05,1.929683349e+00,1.929683458e+00,1.911974382e+00,1.475959673e+00,4.360140410e-01,9.346305000e-03,1.736036600e-02,8.878879000e-03,8.481487000e-03,3105536,2327234,7.493823932e-01,1.627840051e-02,3.214575000e-03,1,2.022539686e-06
MPI mpi-io-in repl-x adaptive C,CSR,bone010.mtx,986703,986703,71666325,4,3.252397000e-04,1.326641025e-06,440.698506365,0.000000000e+00,3.147776067e-04,1.643676983e+01,1.643677030e+01,1.607713713e+01,1.107655702e+01,5.000579289e+00,6.447393300e-02,3.541108210e-01,1.881687650e-01,1.659420560e-01,71666325,53750615,7.500121570e-01,2.580313684e-01,2.399925300e-02,0,1.655946069e-02
MPI mpi-io-in repl-x adaptive C,CSR,boyd2.mtx,466316,466316,1500397,4,3.907550000e-05,8.632748396e-07,76.794769101,0.000000000e+00,2.928640042e-05,5.113613070e-01,5.113615390e-01,5.032311190e-01,3.977855800e-01,1.054449120e-01,3.019669000e-03,8.094387000e-03,2.691424000e-03,5.402963000e-03,1500397,1022750,6.816529225e-01,6.626014823e-03,2.085111000e-03,1,4.365163746e+02
MPI mpi-io-in repl-x adaptive C,CSR,ASIC_680ks.mtx,682712,682712,2329176,4,3.389440000e-05,2.557248334e-06,137.437216771,0.000000000e+00,2.447360028e-05,1.519602768e+00,1.519602953e+00,1.510550018e+00,1.144169049e+00,3.663803130e-01,1.664966000e-03,9.015639000e-03,4.955403000e-03,4.060236000e-03,2329176,1747035,7.500656885e-01,1.107539858e-02,2.535675000e-03,1,3.744061245e-02
MPI mpi-io-in repl-x adaptive C,CSR,eu-2005.mtx,862664,862664,19235140,4,1.293240000e-04,5.586839887e-07,297.472085614,0.000000000e+00,1.191936031e-04,5.135465371e+00,5.135465596e+00,5.038186110e+00,3.714997627e+00,1.323187827e+00,3.923133900e-02,9.482542500e-02,4.887079000e-02,4.595463500e-02,19235140,14436634,7.505343865e-01,9.620435979e-02,8.119459000e-03,1,2.056360245e-05
MPI mpi-io-in repl-x adaptive C,CSR,Si41Ge41H72.mtx,185639,185639,15011265,4,9.831820000e-05,2.740087801e-06,305.360858926,0.000000000e+00,8.816640005e-05,5.075303757e+00,5.075304239e+00,5.004299256e+00,3.696167293e+00,1.308131313e+00,2.079109000e-02,7.081960000e-02,3.729815400e-02,3.352144600e-02,15011265,11246481,7.492027487e-01,6.178629155e-02,5.930829000e-03,1,2.730414435e-05
MPI mpi-io-in repl-x adaptive C,CSR,Rucci1.mtx,1977885,109900,7791168,4,5.910430000e-05,1.674266768e-06,263.641325595,0.000000000e+00,4.925440103e-05,5.157297750e+00,5.157297999e+00,5.117391627e+00,3.849178512e+00,1.268212356e+00,1.020290000e-02,3.983301100e-02,2.000661500e-02,1.982639600e-02,7791168,5843389,7.500016686e-01,5.418616941e-02,4.288484000e-03,1,2.607567424e-07
MPI mpi-io-in repl-x adaptive C,CSR,FullChip.mtx,2987012,2987012,26621990,4,1.928117000e-04,1.721936124e-06,276.144964237,0.000000000e+00,1.830911994e-04,1.515841365e+01,1.515841395e+01,1.502479654e+01,1.071083665e+01,4.313958881e+00,1.609588160e-01,1.308920870e-01,6.797790800e-02,6.291417900e-02,26621990,19745873,7.417128847e-01,1.388542787e-01,1.235274400e-02,1,4.810702203e-04
MPI mpi-io-in repl-x adaptive C,CSR,rajat31.mtx,4690002,4690002,20316253,4,1.476899000e-04,7.237737818e-07,275.120411076,0.000000000e+00,1.380351990e-04,1.248244601e+01,1.248244641e+01,1.237996554e+01,9.050779708e+00,3.329184979e+00,1.171865530e-01,1.012116930e-01,5.568849900e-02,4.552319400e-02,20316253,15238763,7.500774380e-01,7.790104901e-02,1.136397900e-02,1,6.988048553e-04
MPI mpi-io-in repl-x adaptive C,CSR,webbase-2001.mtx,118142155,118142155,1019903190,4,5.306292200e-03,1.799538989e-06,384.412750584,0.000000000e+00,5.295923042e-03,3.372293055e+02,3.372293059e+02,3.321700093e+02,2.552749504e+02,7.689505760e+01,4.184015207e+00,5.000264178e+00,2.806360537e+00,2.193903641e+00,1019903190,764999990,7.500711808e-01,4.752635268e+00,3.945201610e-01,1,5.072355270e-05
MPI mpi-io-in repl-x adaptive C,CSR,nlpkkt240.mtx,27993600,27993600,774472352,4,3.722646100e-03,4.364918387e-06,416.087015095,0.000000000e+00,3.712716770e-03,1.810098300e+02,1.810098304e+02,1.771611669e+02,1.291788724e+02,4.798229257e+01,9.461736730e-01,3.792260404e+00,2.068641685e+00,1.723618719e+00,774472352,580855623,7.500017547e-01,2.868823791e+00,2.562329420e-01,1,1.153945923e-04
MPI mpi-io-in repl-x adaptive C,CSR,rmat_24.mtx,16777216,16777216,150994124,4,3.772198800e-03,2.586756058e-06,80.056291837,0.000000000e+00,3.762380838e-03,2.644963495e+01,2.644963520e+01,2.570725773e+01,2.009204228e+01,5.615214779e+00,2.266525400e-02,7.292617570e-01,3.990220500e-01,3.302397070e-01,150994124,113248735,7.500208088e-01,1.952426337e+00,6.048940200e-02,1,8.934736252e-05
